samples,threshold,slice_count,flip_mean_macro,flip_mean_median_slice,flip_weighted_median_macro,dice_macro,erosion_pixels_total,addition_pixels_total,symmetric_difference_total,pherc1447_anti_blob_passed,pherc1447_foreground_ratio_vs_v15,pherc1447_reference_recall,locked_component_matches
4096,0.44,16,0.23096025,0.1980745,0.599560625,0.7583996250881411,4182,1180,5362,True,0.9933792624643865,0.9338984930674188,15
4096,0.45,16,0.2320731875,0.197801,0.6002876875000001,0.756089231612145,4233,1154,5387,True,0.9604909126002149,0.915231801434049,15
4096,0.46,16,0.2332223125,0.19942300000000002,0.6001010625,0.7540409944160146,4279,1127,5406,True,0.9305409516346949,0.8956230968890527,15
4096,0.47,16,0.234525125,0.20152399999999998,0.60082875,0.7518616707977912,4327,1102,5429,True,0.9028984901866454,0.8756046023236318,15
4096,0.48,16,0.23569225,0.204099,0.60079725,0.7496425354603719,4371,1081,5452,True,0.8772099133175275,0.8557243848828533,13
4096,0.49,16,0.236887375,0.205321,0.6030519375,0.7464801897006889,4433,1053,5486,True,0.8531540147898908,0.83613512555851,13
4096,0.5,16,0.23754825,0.2060725,0.6043270000000001,0.7449417566395258,4467,1036,5503,True,0.8312759809753723,0.8176261562704354,13
8192,0.25,16,0.2164408125,0.187725,0.5945195625,0.7905461015308588,3249,1809,5058,,,,
8192,0.38,16,0.22525775,0.19502999999999998,0.5977521875,0.769335027099762,3913,1337,5250,False,1.2815833595003587,0.9900022758110097,16
8192,0.39,16,0.2262643125,0.1954005,0.5984395,0.7672347835729123,3968,1306,5274,False,1.2176683596011857,0.9867196344874672,16
8192,0.4,16,0.2270910625,0.1962395,0.5988075625,0.7655960463571168,4011,1279,5290,False,1.1607745247444035,0.9820218132164124,16
8192,0.41,16,0.228357,0.197628,0.5997566875,0.7630006740997237,4069,1254,5323,False,1.1095961443728413,0.9748846970434623,16
8192,0.42,16,0.229786875,0.1983815,0.600261125,0.7605452776955424,4124,1230,5354,True,1.0633820568146135,0.9642200738054153,16
8192,0.43,16,0.230923125,0.19890950000000002,0.5996295,0.7586622895295788,4167,1208,5375,True,1.0218218587326324,0.9495713409136085,15
8192,0.44,16,0.2321641875,0.199581,0.5999141875,0.7562333707038617,4220,1183,5403,True,0.9841355807207119,0.9315139328606944,15
8192,0.45,16,0.2333100625,0.200383,0.599963625,0.7540191792617377,4270,1155,5425,True,0.9505083124717324,0.9113240322761855,15
8192,0.46,16,0.2346535,0.2026305,0.6005536875,0.7517327352188301,4319,1130,5449,True,0.9195356769385444,0.8899515741986409,15
